director,qtd_filmes,receita_total_bi,receita_media_mi,receita_mediana_mi,roi_medio,nota_metadata_media,nota_usuarios_media
Emile Ardolino,3,0.45,149.23,213.95,1341.39,6.4,3.2
Gus Van Sant,11,0.44,40.4,10.01,285.1,6.49,3.61
Tyler Perry,9,0.44,49.23,53.21,330.21,6.29,2.25
Wes Anderson,8,0.44,54.7,40.64,135.62,7.38,3.84
David R. Ellis,6,0.44,72.98,59.22,152.6,5.57,2.42
Henry Joost,5,0.44,87.47,85.24,4293.06,6.04,2.72
Ben Affleck,4,0.44,110.91,94.32,185.4,6.88,3.83
Jon Amiel,4,0.44,110.12,107.15,71.5,6.0,3.1
Victor Fleming,3,0.44,146.43,33.75,3708.03,7.03,4.0
Herbert Ross,7,0.43,62.0,80.04,413.59,6.54,3.39
Peter Chelsom,6,0.43,71.58,46.15,124.47,6.12,2.88
Brian Helgeland,5,0.43,85.73,95.02,60.56,6.32,3.21
Edgar Wright,5,0.43,85.78,47.66,378.53,7.2,3.78
Sean Anders,4,0.43,106.82,82.86,130.9,5.85,2.69
Tony Gilroy,3,0.43,143.19,92.99,120.5,6.1,3.12
Joe Dante,9,0.42,46.41,36.6,434.06,6.36,3.14
Stephen Hopkins,9,0.42,46.73,30.16,102.08,6.01,3.12
Les Mayfield,7,0.42,59.87,40.69,23.6,5.6,2.82
Penny Marshall,6,0.42,69.9,50.09,173.36,6.52,3.52
Denis Villeneuve,5,0.42,84.01,84.03,170.7,7.38,3.27
George P. Cosmatos,5,0.42,84.76,49.04,144.09,5.86,2.78
Jimmy Hayward,3,0.42,139.23,110.0,90.66,5.5,2.6
Mick Jackson,3,0.42,140.81,7.36,742.38,6.13,2.79
Alexander Payne,5,0.41,82.08,105.83,315.12,6.9,3.7
Frank Darabont,4,0.41,101.84,47.21,139.18,7.5,3.9
Jeff Tremaine,4,0.41,101.53,95.0,786.4,6.22,3.31
Stephen Frears,11,0.4,36.07,13.45,187.61,6.43,3.85
Neil Jordan,9,0.4,44.29,10.83,226.07,6.53,3.4
Joseph Ruben,7,0.4,57.53,35.43,204.43,5.84,2.86
Baltasar Kormákur,4,0.4,99.63,97.52,109.78,6.42,2.76
Clyde Geronimi,3,0.4,134.0,87.4,3941.49,6.87,3.63
Spike Lee,13,0.39,30.11,13.07,58.91,6.55,3.37
Roman Polanski,11,0.39,35.75,30.0,149.83,7.02,3.77
Norman Jewison,10,0.38,37.89,28.69,481.24,6.87,3.66
Bruce Beresford,8,0.38,47.07,13.13,362.73,6.0,3.28
Amy Heckerling,4,0.38,95.51,38.23,1429.54,6.12,3.28
Michael Lembeck,4,0.38,95.29,98.48,215.28,5.52,2.0
Will Gluck,4,0.38,94.46,104.39,316.43,6.3,3.49
John Hamburg,3,0.38,127.21,118.03,214.52,6.2,3.12
Phil Alden Robinson,3,0.38,127.55,105.23,183.82,6.57,3.43
Blake Edwards,17,0.37,21.77,11.0,160.81,5.84,3.34
George Roy Hill,6,0.37,62.47,32.14,1153.12,6.85,3.92
Hal Needham,6,0.37,62.19,69.16,301.0,6.12,2.62
Paul Weitz,6,0.37,61.96,12.66,248.76,5.55,2.5
Randal Kleiser,6,0.37,61.3,46.73,1083.32,6.05,2.78
Robert Redford,6,0.37,61.35,41.45,50.83,6.37,2.73
Mikael Håfström,4,0.37,92.78,95.36,186.35,6.28,3.11
Michael Haigney,3,0.37,122.0,133.95,373.18,6.37,2.27
Richard Curtis,3,0.37,122.79,87.1,370.29,7.33,3.84
Jean-Pierre Jeunet,6,0.36,60.49,11.75,249.39,7.03,3.97
George Clooney,5,0.36,71.98,54.6,258.12,6.28,3.4
Jake Kasdan,5,0.36,72.57,18.32,200.27,5.84,2.84
Frank Marshall,4,0.36,90.61,86.83,122.9,6.15,2.75
Gary Winick,4,0.36,89.5,105.56,584.96,5.88,2.82
Richard Linklater,15,0.35,23.57,7.99,206.74,6.87,3.53
Gregory Hoblit,6,0.35,58.68,50.29,75.17,6.65,3.46
Ken Kwapis,6,0.35,58.04,37.52,134.84,6.02,2.99
Tom Dey,4,0.35,86.71,80.75,54.82,5.5,2.91
S.S. Rajamouli,3,0.35,116.48,100.0,517.5,6.97,
Mel Brooks,6,0.34,57.06,36.93,1437.59,6.83,3.69
Tom Tykwer,6,0.34,56.15,33.71,100.33,6.5,3.34
Jonathan Frakes,4,0.34,83.77,78.4,73.37,5.6,4.12
John Carpenter,14,0.33,23.53,16.99,2030.72,6.53,3.32
Glenn Ficarra,4,0.33,82.64,82.97,85.22,6.52,3.69
Marc Lawrence,4,0.33,82.25,89.32,122.45,5.75,2.94
Stanley Tong,4,0.33,82.24,27.14,932.98,6.4,3.48
Luis Llosa,3,0.33,108.75,136.89,241.38,5.4,2.81
Tate Taylor,3,0.33,109.79,124.27,340.98,6.83,4.0
Alan Parker,10,0.32,31.97,21.72,204.62,6.85,3.58
Frank Oz,6,0.32,52.93,52.87,10.97,6.57,3.29
Malcolm D. Lee,6,0.32,54.14,49.34,193.94,5.92,3.72
Michel Gondry,6,0.32,53.68,10.62,122.45,6.47,3.28
Joe Carnahan,5,0.32,64.85,57.1,137.57,6.36,2.94
Stephen Daldry,4,0.32,79.97,82.62,614.42,7.12,3.2
Wolfgang Reitherman,4,0.32,78.94,43.87,1772.77,7.02,3.64
Breck Eisner,3,0.32,107.05,119.27,76.6,5.87,2.92
James DeMonaco,3,0.32,105.57,108.78,1690.73,6.23,2.25
Jesse Dylan,3,0.32,106.23,56.07,168.35,6.0,2.75
Thor Freudenthal,3,0.32,107.77,75.7,202.44,5.83,2.75
John Frankenheimer,11,0.31,28.23,12.48,54.38,6.1,3.22
John Hughes,6,0.31,52.13,50.38,1703.56,7.05,3.61
Jason Friedberg,5,0.31,62.94,80.55,183.68,3.58,1.09
Luke Greenfield,4,0.31,77.93,72.34,270.44,5.8,3.28
Daniel Espinosa,3,0.31,103.98,100.54,41.6,6.23,3.12
José Padilha,3,0.31,101.98,63.03,102.24,6.97,3.52
Stephen Norrington,3,0.31,103.96,131.18,160.68,6.0,3.08
David Twohy,6,0.3,50.8,38.02,63.94,6.25,3.13
Kathryn Bigelow,6,0.3,50.27,38.58,69.15,6.55,3.27
Steve Miner,6,0.3,50.06,45.87,540.62,5.47,2.43
Andrzej Bartkowiak,5,0.3,59.25,56.49,73.77,5.2,2.5
David Bowers,5,0.3,59.64,64.46,97.76,6.1,3.08
Roger Kumble,5,0.3,60.63,68.4,231.68,5.48,3.36
Hugh Wilson,4,0.3,75.79,78.33,854.12,6.45,3.03
Pierre Morel,4,0.3,75.72,33.24,180.72,6.35,3.41
Dean Parisot,3,0.3,101.05,90.68,57.72,5.87,2.67
Sidney Lumet,13,0.29,22.66,23.69,534.91,6.84,3.79
Wayne Wang,8,0.29,35.94,25.65,199.06,6.01,3.25
Andrew Niccol,6,0.29,48.97,21.85,67.76,6.43,2.98
Gary Fleder,6,0.29,49.01,51.79,30.77,6.55,3.28
Arthur Hiller,5,0.29,58.02,46.91,1817.72,6.38,3.06
Rob Bowman,4,0.29,72.95,49.87,49.97,5.9,2.79
Terence Young,4,0.29,72.67,69.25,3165.2,6.95,3.78
Kirk Jones,3,0.29,97.04,88.92,294.41,5.93,3.0
Stuart Baird,3,0.29,97.22,102.37,68.19,6.03,3.26
Ron Shelton,8,0.28,35.56,35.01,102.31,5.99,3.18
Jonathan Lynn,7,0.28,39.77,30.24,136.51,6.29,3.22
Brian Robbins,6,0.28,47.01,45.44,-0.26,5.27,2.5
Gavin O'Connor,6,0.28,46.08,27.1,99.18,6.58,3.69
Marcus Nispel,4,0.28,69.52,70.09,332.68,5.6,2.34
Randall Wallace,3,0.28,92.08,101.33,289.82,6.53,4.38
Richard Lester,3,0.28,92.87,75.85,814.52,6.37,3.12
Pedro Almodóvar,10,0.27,27.34,9.45,491.86,7.19,3.71
Jonathan Levine,5,0.27,54.46,52.4,145.37,6.18,3.57
Brian Taylor,4,0.27,66.88,41.88,118.5,5.7,2.44
Greg Mottola,4,0.27,66.52,63.74,176.67,6.45,3.23
John Whitesell,4,0.27,67.92,65.42,108.91,4.88,1.5
Peter Howitt,4,0.27,66.7,44.01,284.0,6.0,2.72
Richard LaGravenese,4,0.27,67.74,50.61,131.61,6.4,3.04
Juan Antonio Bayona,3,0.27,90.31,46.65,168.86,6.97,3.94
David Cronenberg,12,0.26,21.74,11.13,58.48,6.59,3.53
Bob Clark,9,0.26,28.99,19.29,783.05,5.06,2.31
Michael Caton-Jones,6,0.26,44.15,27.02,22.42,5.95,3.12
Boaz Yakin,5,0.26,51.84,40.35,148.88,6.5,3.86
Steven Brill,4,0.26,64.66,43.66,136.47,5.68,2.33
Albert Hughes,3,0.26,86.52,74.56,302.18,6.8,3.44
Alfred Hitchcock,21,0.25,11.91,7.9,673.51,7.36,3.95
Kevin Smith,11,0.25,22.3,26.89,1542.67,6.29,3.25
Charles Shyer,5,0.25,50.73,61.95,-20.01,5.54,2.88
Harold Becker,5,0.25,49.64,46.41,130.46,5.96,3.08
William Wyler,5,0.25,49.65,23.65,756.6,7.3,4.01
Ron Underwood,4,0.25,62.82,32.58,270.58,5.95,3.02
Gil Kenan,3,0.25,84.49,95.44,64.02,5.83,2.5
Justin Kurzel,3,0.25,84.44,12.6,38.29,6.03,
Ruben Fleischer,3,0.25,82.71,102.39,151.33,6.33,3.37
Miloš Forman,6,0.24,39.88,33.87,576.34,7.18,3.77
Sofia Coppola,5,0.24,47.04,25.44,637.55,6.4,3.29
Thomas Carter,5,0.24,47.09,31.99,203.72,6.38,3.66
David Lean,4,0.24,59.06,48.6,582.51,7.42,4.26
Rod Daniel,4,0.24,60.47,56.31,332.86,5.32,2.34
James Wong,3,0.24,81.24,72.7,183.67,5.97,3.33
Luis Mandoki,8,0.23,28.3,12.2,-43.59,5.69,3.04
Philip Kaufman,8,0.23,28.7,22.25,85.64,6.61,3.21
Gary Goldman,7,0.23,32.96,11.66,-10.13,5.86,3.3
Paul Thomas Anderson,7,0.23,32.19,28.26,35.2,7.16,3.56
John Guillermin,6,0.23,38.85,10.17,157.45,5.78,3.02
Simon Wincer,5,0.23,45.14,17.3,156.43,5.54,2.79
Henry Selick,4,0.23,58.64,52.28,77.79,6.32,3.08
Alexandre Aja,3,0.23,75.08,72.44,239.25,5.8,2.38
David S. Goyer,3,0.23,77.41,76.51,155.3,5.5,2.4
Jeannot Szwarc,3,0.23,75.3,23.72,242.57,5.57,2.6
Tommy Wirkola,3,0.23,75.61,1.98,248.85,6.17,2.25
Robert Altman,8,0.22,27.81,11.11,377.79,6.2,3.47
Michael Ritchie,6,0.22,37.18,35.24,176.75,6.2,2.71
Russell Mulcahy,6,0.22,36.47,10.73,4.31,5.57,2.96
Ted Kotcheff,6,0.22,35.97,26.99,549.83,6.47,3.43
Hideo Nakata,4,0.22,54.76,24.46,352.85,5.93,2.62
Scott Hicks,4,0.22,54.04,58.39,168.72,6.45,3.72
Wilson Yip,4,0.22,55.85,28.94,200.51,6.98,3.86
Christophe Gans,3,0.22,72.49,70.75,95.99,6.23,2.89
James McTeigue,3,0.22,74.21,60.46,70.21,6.67,2.94
Leonard Nimoy,3,0.22,73.54,87.0,418.75,5.97,3.4
George A. Romero,8,0.21,26.01,25.51,4492.34,6.44,3.5
Jim Sheridan,7,0.21,30.06,38.5,530.2,6.94,3.49
Carl Reiner,6,0.21,35.1,29.9,,6.35,3.06
