director,receita_total_bi,nota_metadata_media,nota_usuarios_media,qtd_filmes
Jean-Pierre Jeunet,0.36,7.03,3.97,6
Jake Kasdan,0.36,5.84,2.84,5
Frank Marshall,0.36,6.15,2.75,4
George Clooney,0.36,6.28,3.4,5
Gary Winick,0.36,5.88,2.82,4
Richard Linklater,0.35,6.87,3.53,15
Gregory Hoblit,0.35,6.65,3.46,6
S.S. Rajamouli,0.35,6.97,,3
Ken Kwapis,0.35,6.02,2.99,6
Tom Dey,0.35,5.5,2.91,4
Mel Brooks,0.34,6.83,3.69,6
Tom Tykwer,0.34,6.5,3.34,6
Jonathan Frakes,0.34,5.6,4.12,4
Glenn Ficarra,0.33,6.52,3.69,4
John Carpenter,0.33,6.53,3.32,14
Tate Taylor,0.33,6.83,4.0,3
Marc Lawrence,0.33,5.75,2.94,4
Stanley Tong,0.33,6.4,3.48,4
Luis Llosa,0.33,5.4,2.81,3
Malcolm D. Lee,0.32,5.92,3.72,6
Joe Carnahan,0.32,6.36,2.94,5
Thor Freudenthal,0.32,5.83,2.75,3
Michel Gondry,0.32,6.47,3.28,6
Breck Eisner,0.32,5.87,2.92,3
Stephen Daldry,0.32,7.12,3.2,4
Alan Parker,0.32,6.85,3.58,10
Jesse Dylan,0.32,6.0,2.75,3
Frank Oz,0.32,6.57,3.29,6
James DeMonaco,0.32,6.23,2.25,3
Wolfgang Reitherman,0.32,7.02,3.64,4
Jason Friedberg,0.31,3.58,1.09,5
John Hughes,0.31,7.05,3.61,6
Daniel Espinosa,0.31,6.23,3.12,3
Stephen Norrington,0.31,6.0,3.08,3
Luke Greenfield,0.31,5.8,3.28,4
John Frankenheimer,0.31,6.1,3.22,11
José Padilha,0.31,6.97,3.52,3
David Twohy,0.3,6.25,3.13,6
Hugh Wilson,0.3,6.45,3.03,4
Roger Kumble,0.3,5.48,3.36,5
Dean Parisot,0.3,5.87,2.67,3
Pierre Morel,0.3,6.35,3.41,4
Kathryn Bigelow,0.3,6.55,3.27,6
Steve Miner,0.3,5.47,2.43,6
David Bowers,0.3,6.1,3.08,5
Andrzej Bartkowiak,0.3,5.2,2.5,5
Sidney Lumet,0.29,6.84,3.79,13
Gary Fleder,0.29,6.55,3.28,6
Andrew Niccol,0.29,6.43,2.98,6
Rob Bowman,0.29,5.9,2.79,4
Stuart Baird,0.29,6.03,3.26,3
Kirk Jones,0.29,5.93,3.0,3
Terence Young,0.29,6.95,3.78,4
Arthur Hiller,0.29,6.38,3.06,5
Wayne Wang,0.29,6.01,3.25,8
Ron Shelton,0.28,5.99,3.18,8
Brian Robbins,0.28,5.27,2.5,6
Richard Lester,0.28,6.37,3.12,3
Jonathan Lynn,0.28,6.29,3.22,7
Marcus Nispel,0.28,5.6,2.34,4
Gavin O'Connor,0.28,6.58,3.69,6
Randall Wallace,0.28,6.53,4.38,3
Pedro Almodóvar,0.27,7.19,3.71,10
Jonathan Levine,0.27,6.18,3.57,5
John Whitesell,0.27,4.88,1.5,4
Richard LaGravenese,0.27,6.4,3.04,4
Juan Antonio Bayona,0.27,6.97,3.94,3
Brian Taylor,0.27,5.7,2.44,4
Peter Howitt,0.27,6.0,2.72,4
Greg Mottola,0.27,6.45,3.23,4
Michael Caton-Jones,0.26,5.95,3.12,6
Bob Clark,0.26,5.06,2.31,9
David Cronenberg,0.26,6.59,3.53,12
Albert Hughes,0.26,6.8,3.44,3
Boaz Yakin,0.26,6.5,3.86,5
Steven Brill,0.26,5.68,2.33,4
Charles Shyer,0.25,5.54,2.88,5
Gil Kenan,0.25,5.83,2.5,3
Justin Kurzel,0.25,6.03,,3
Ron Underwood,0.25,5.95,3.02,4
Alfred Hitchcock,0.25,7.36,3.95,21
William Wyler,0.25,7.3,4.01,5
Harold Becker,0.25,5.96,3.08,5
Ruben Fleischer,0.25,6.33,3.37,3
Kevin Smith,0.25,6.29,3.25,11
James Wong,0.24,5.97,3.33,3
Rod Daniel,0.24,5.32,2.34,4
Miloš Forman,0.24,7.18,3.77,6
David Lean,0.24,7.42,4.26,4
Thomas Carter,0.24,6.38,3.66,5
Sofia Coppola,0.24,6.4,3.29,5
Henry Selick,0.23,6.32,3.08,4
John Guillermin,0.23,5.78,3.02,6
David S. Goyer,0.23,5.5,2.4,3
Gary Goldman,0.23,5.86,3.3,7
Philip Kaufman,0.23,6.61,3.21,8
Tommy Wirkola,0.23,6.17,2.25,3
Luis Mandoki,0.23,5.69,3.04,8
Jeannot Szwarc,0.23,5.57,2.6,3
Simon Wincer,0.23,5.54,2.79,5
Paul Thomas Anderson,0.23,7.16,3.56,7
Alexandre Aja,0.23,5.8,2.38,3
Wilson Yip,0.22,6.98,3.86,4
Michael Ritchie,0.22,6.2,2.71,6
James McTeigue,0.22,6.67,2.94,3
Robert Altman,0.22,6.2,3.47,8
Leonard Nimoy,0.22,5.97,3.4,3
Hideo Nakata,0.22,5.93,2.62,4
Russell Mulcahy,0.22,5.57,2.96,6
Christophe Gans,0.22,6.23,2.89,3
Scott Hicks,0.22,6.45,3.72,4
Ted Kotcheff,0.22,6.47,3.43,6
Kunihiko Yuyama,0.21,6.04,0.5,5
Takashi Yamazaki,0.21,6.88,,4
Carl Reiner,0.21,6.35,3.06,6
Jim Sheridan,0.21,6.94,3.49,7
Jon Avnet,0.21,6.4,3.48,3
George A. Romero,0.21,6.44,3.5,8
Steve McQueen,0.21,7.37,3.92,3
Iain Softley,0.21,6.42,3.28,4
Burr Steers,0.21,6.22,3.37,4
Michael Moore,0.2,6.86,3.53,7
Spike Jonze,0.2,7.22,3.7,4
Tsui Hark,0.2,6.51,3.53,8
Penelope Spheeris,0.2,6.15,3.09,4
John Huston,0.2,6.84,4.06,10
Hideaki Anno,0.2,7.44,3.76,5
Jay Russell,0.2,6.3,3.0,3
Richard Fleischer,0.2,6.01,3.18,8
Nicholas Meyer,0.2,6.32,3.51,4
William Brent Bell,0.19,5.23,3.25,3
Nimród Antal,0.19,6.05,2.83,4
Bong Joon-ho,0.19,7.0,3.86,3
Shekhar Kapur,0.19,6.85,4.14,4
Tom Vaughan,0.19,6.17,2.75,3
Terrence Malick,0.18,6.18,3.53,6
Don Bluth,0.18,7.03,3.33,3
Simon Wells,0.18,6.07,2.65,4
Oliver Parker,0.18,6.03,3.08,3
Danny Cannon,0.18,5.7,2.53,3
Richard Benjamin,0.18,5.47,2.96,9
Paul Haggis,0.18,6.62,3.89,4
Kevin Macdonald,0.18,6.85,3.77,6
"George Tillman, Jr.",0.18,6.75,3.25,4
Charles Martin Smith,0.18,6.05,3.1,4
Warren Beatty,0.18,6.3,3.27,4
Franklin J. Schaffner,0.18,7.08,3.89,4
Dwight H. Little,0.18,5.6,2.81,6
David Koepp,0.18,6.12,3.16,4
A.R. Murugadoss,0.18,6.27,,3
Alain Chabat,0.17,6.13,,3
Til Schweiger,0.17,6.23,4.0,3
David Gordon Green,0.17,5.86,2.84,8
Ronny Yu,0.17,6.12,2.81,4
Kevin Rodney Sullivan,0.17,5.73,3.08,3
Howard Deutch,0.17,6.05,3.22,6
Scott Stewart,0.17,5.57,2.19,3
Bennett Miller,0.17,6.8,3.46,3
Michael Hoffman,0.17,5.9,3.59,5
Cecil B. DeMille,0.17,6.25,3.66,4
John Erick Dowdle,0.17,6.05,2.58,4
John Boorman,0.17,6.59,3.62,8
Paul Mazursky,0.17,5.69,3.5,7
Ted Demme,0.17,6.83,3.25,3
Angelina Jolie,0.17,6.17,2.5,3
Tobe Hooper,0.17,6.38,3.54,4
Nigel Cole,0.17,6.47,3.42,3
Lee Daniels,0.16,6.5,2.81,3
Steve Pink,0.16,5.78,2.7,4
Brad Furman,0.16,6.37,2.5,3
Patrick Lussier,0.16,5.07,2.81,3
Nick Castle,0.16,6.0,3.0,4
David Lowery,0.16,6.37,,3
Eli Roth,0.16,5.34,2.76,5
Geoffrey Sax,0.16,5.6,1.25,4
Jared Hess,0.16,5.5,3.03,4
Scott Cooper,0.15,6.53,3.76,3
Jay Chandrasekhar,0.15,5.65,2.84,4
Francis Veber,0.15,6.45,2.8,4
Paul McGuigan,0.15,6.4,3.06,4
Dennis Gansel,0.15,6.7,3.38,3
Rohit Shetty,0.15,6.6,,3
James Watkins,0.15,6.27,3.75,3
Alex Kendrick,0.15,6.82,4.67,4
Don Roos,0.14,5.8,3.31,3
Jeremiah S. Chechik,0.14,6.13,3.09,3
Richard Attenborough,0.14,6.83,3.51,3
John Schlesinger,0.14,5.18,3.63,6
Stuart Rosenberg,0.14,7.0,3.63,3
Carl Franklin,0.14,6.32,3.45,5
Rob Zombie,0.14,5.4,3.42,5
Sidney Poitier,0.14,6.3,3.5,3
Jean-Marc Vallée,0.14,7.15,3.85,4
Griffin Dunne,0.14,5.52,2.39,4
Richard Loncraine,0.14,5.78,2.71,5
Fernando Meirelles,0.13,6.8,3.87,4
Neil LaBute,0.13,5.65,2.32,6
Peter Yates,0.13,6.57,3.18,6
